app.default-instance.java-arguments.placeholder	Enter java arguments...	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.env-variables.title	Environmental variables	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.env-variables.placeholder	Enter environmental variables...	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.hooks.title	Hooks	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.pre-launch-hook.title	Pre-launch hook	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.pre-launch-hook.placeholder	Enter pre-launch command...	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.pre-launch-hook.description	Ran before the instance is launched.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.pre-launch-wait	Wait for command to finish before launching	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.wrapper-hook.title	Wrapper hook	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.wrapper-hook.placeholder	Enter wrapper command...	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.wrapper-hook.description	Wrapper command for launching Minecraft.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.post-exit-hook.title	Post-exit hook	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.post-exit-hook.placeholder	Enter post-exit command...	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.post-exit-hook.description	Ran after the game closes.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.advanced-launch-options.title	Advanced launch options	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.renderer.title	Renderer	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.renderer.description	Override the OpenGL renderer. May cause instability.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.renderer.default	Default	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.renderer.llvmpipe	llvmpipe (software)	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.renderer.d3d12	Vulkan (Zink)	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.extra-game-args.title	Extra game arguments	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.extra-game-args.placeholder	e.g. --demo	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.extra-game-args.hint	Appended to the end of the Minecraft launch arguments.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.high-perf-gpu.title	High-performance GPU	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.high-perf-gpu.description	Request the high-performance GPU for the game process.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.use-java-exe.title	Use java.exe	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.use-java-exe.description	Use java.exe instead of javaw.exe. Provides a console window for debugging.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.compatibility.title	Compatibility	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.disable-jlw.title	Disable Java Launch Wrapper	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.disable-jlw.description	Disable the theseus.jar launch wrapper. May break some features.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.disable-lf.title	Disable LegacyFix	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.disable-lf.description	Disable compatibility fixes for old Minecraft versions.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.disable-lwjgl.title	Disable LWJGL Unsafe Agent	components\ui\settings\DefaultInstanceSettings.vue
